,SCH_NAME,de_total_enrollment,LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,COMBOKEY,JJ,SCH_GRADE_PS,SCH_GRADE_KG,SCH_GRADE_G01,SCH_GRADE_G02,SCH_GRADE_G03,SCH_GRADE_G04,SCH_GRADE_G05,SCH_GRADE_G06,SCH_GRADE_G07,SCH_GRADE_G08,SCH_GRADE_G09,SCH_GRADE_G10,SCH_GRADE_G11,SCH_GRADE_G12,SCH_GRADE_UG,SCH_UGDETAIL_HS,SCH_STATUS_SPED,SCH_STATUS_MAGNET,SCH_STATUS_CHARTER,SCH_STATUS_ALT,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_LEP_M,SCH_ENR_LEP_F,SCH_ENR_IDEA_M,SCH_ENR_IDEA_F,SCH_DUAL_IND,SCH_DUALENR_HI_M,SCH_DUALENR_HI_F,SCH_DUALENR_AM_M,SCH_DUALENR_AM_F,SCH_DUALENR_AS_M,SCH_DUALENR_AS_F,SCH_DUALENR_HP_M,SCH_DUALENR_HP_F,SCH_DUALENR_BL_M,SCH_DUALENR_BL_F,SCH_DUALENR_WH_M,SCH_DUALENR_WH_F,SCH_DUALENR_TR_M,SCH_DUALENR_TR_F,TOT_DUALENR_M,TOT_DUALENR_F,SCH_DUALENR_LEP_M,SCH_DUALENR_LEP_F,SCH_DUALENR_IDEA_M,SCH_DUALENR_IDEA_F,SCH_APENR_IND,SCH_APENR_HI_M,SCH_APENR_HI_F,SCH_APENR_AM_M,SCH_APENR_AM_F,SCH_APENR_AS_M,SCH_APENR_AS_F,SCH_APENR_HP_M,SCH_APENR_HP_F,SCH_APENR_BL_M,SCH_APENR_BL_F,SCH_APENR_WH_M,SCH_APENR_WH_F,SCH_APENR_TR_M,SCH_APENR_TR_F,TOT_APENR_M,TOT_APENR_F,SCH_APENR_LEP_M,SCH_APENR_LEP_F,SCH_APENR_IDEA_M,SCH_APENR_IDEA_F,SCH_IBENR_IND,SCH_IBENR_HI_M,SCH_IBENR_HI_F,SCH_IBENR_AM_M,SCH_IBENR_AM_F,SCH_IBENR_AS_M,SCH_IBENR_AS_F,SCH_IBENR_HP_M,SCH_IBENR_HP_F,SCH_IBENR_BL_M,SCH_IBENR_BL_F,SCH_IBENR_WH_M,SCH_IBENR_WH_F,SCH_IBENR_TR_M,SCH_IBENR_TR_F,TOT_IBENR_M,TOT_IBENR_F,SCH_IBENR_LEP_M,SCH_IBENR_LEP_F,SCH_IBENR_IDEA_M,SCH_IBENR_IDEA_F,combokey,TITLEI,LEAID_nces,LEA_NAME_nces,SCHID_nces,SCH_NAME_nces,SCH_TYPE_TEXT,SCH_TYPE,LEVEL,VIRTUAL,GSLO,GSHI,NMCNTY15,LOCALE15,LAT1516,LON1516
710,Two Rivers School,4,WA,WASHINGTON,5308040,Snoqualmie Valley School District,2158,='530804002158',No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,5,5,2,0,0,0,0,0,0,0,47,41,2,2,56,48,0,0,19,7,Yes,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='530804002158',No,5308040,Snoqualmie Valley School District,2158,Two Rivers School,Alternative Education School,4,4,Missing,6,12,King County,31,47.496129,-121.782039
707,NASSAU VIRTUAL FRANCHISE,4,FL,FLORIDA,1201350,NASSAU,7722,='120135007722',No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,-9,No,No,No,No,0,0,0,0,0,0,0,2,0,0,5,5,2,0,7,7,0,0,0,0,Yes,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='120135007722',No,1201350,NASSAU,7722,NASSAU VIRTUAL FRANCHISE,Regular School,1,4,Yes,6,12,Nassau County,31,30.67155,-81.454301
712,Alternative Education-San Joaquin High,4,CA,CALIFORNIA,684500,Irvine Unified,9467,='068450009467',No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,5,14,0,0,14,23,2,2,0,2,26,29,5,5,52,75,2,5,0,4,Yes,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,2,0,0,0,0,Yes,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,4,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='068450009467',No,684500,Irvine Unified,9467,Alternative Education-San Joaquin High,Alternative Education School,4,4,No,KG,12,Orange County,12,33.689618,-117.819244
715,Destinations Career Academy of Colorado,4,CO,COLORADO,804860,Julesburg School District No. Re1,6387,='080486006387',No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,32,32,2,5,2,0,2,0,8,11,143,143,0,2,189,193,2,5,34,13,Yes,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,Yes,0,2,0,0,0,0,0,0,0,0,2,2,0,0,2,4,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='080486006387',No,804860,Julesburg School District No. Re1,6387,INSIGHT SCHOOL OF COLORADO AT JULESBURG,Alternative Education School,4,4,Yes,6,12,Sedgwick County,43,40.990448,-102.268157
719,ALTER LEARNING CTR,4,TX,TEXAS,4825230,KEENE ISD,7014,='482523007014',No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,-9,No,No,No,Yes,5,2,0,0,0,0,0,2,0,0,5,2,0,0,10,6,2,0,0,0,Yes,2,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='482523007014',No,4825230,KEENE ISD,7014,ALTER LEARNING CTR,Alternative Education School,4,3,Missing,10,12,Johnson County,31,32.393863,-97.310429
711,KIRYAS JOEL VILLAGE SCHOOL,4,NY,NEW YORK,3604758,KIRYAS JOEL VILLAGE UNION FREE SCHOOL DISTRICT,4758,='360475804758',No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,98,86,0,0,98,86,92,83,100,88,Yes,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,2,2,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='360475804758',Yes,3604758,KIRYAS JOEL VILLAGE UNION FREE SCHOOL DISTRICT,4758,KIRYAS JOEL VILLAGE SCHOOL,Regular School,1,1,No,PK,1,Orange County,21,41.337344,-74.159742
720,Gateway Center,4,CA,CALIFORNIA,691033,San Mateo County Office of Education,11960,='069103311960',No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,-9,No,No,No,No,17,2,0,0,0,2,5,2,2,2,2,2,0,0,26,10,8,2,7,0,Yes,2,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='069103311960',Yes,691033,San Mateo County Office of Education,11960,Gateway Center,Alternative Education School,4,3,No,9,12,San Mateo County,21,37.51401,-122.334032
713,Summit Academy Transition High School Dayton,4,OH,OHIO,3900348,Summit Academy Transition High School Dayton,4885,='390034804885',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,Yes,No,Yes,No,2,0,0,0,0,0,0,0,23,20,53,20,2,2,80,42,0,0,58,28,Yes,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='390034804885',Yes,3900348,Summit Academy Transition High School Dayton,4885,Summit Academy Transition High School Dayton,Special Education School,2,3,No,9,12,Montgomery County,21,39.817032,-84.23215
722,Excelsior High School,4,WA,WASHINGTON,5309540,Washougal School District,2243,='530954002243',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,5,5,0,0,0,0,0,0,0,0,20,29,2,2,27,36,2,0,7,7,Yes,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='530954002243',Yes,5309540,Washougal School District,2243,Excelsior High School,Alternative Education School,4,3,Missing,9,12,Clark County,21,45.58676,-122.3269
718,North Coastal Consortium Schools,4,CA,CALIFORNIA,691030,San Diego County Office of Education,10620,='069103010620',No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,Yes,No,No,No,26,14,2,2,2,2,2,2,2,5,32,11,5,5,71,41,14,5,70,37,Yes,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,2,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='069103010620',No,691030,San Diego County Office of Education,10620,North Coastal Consortium Schools,Special Education School,2,4,No,KG,12,San Diego County,21,33.1424,-117.165171
724,Spokane Valley High School,4,WA,WASHINGTON,5309690,West Valley School District (Spokane),2826,='530969002826',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,2,5,0,0,0,0,0,0,0,0,44,47,2,5,48,57,2,2,7,7,Yes,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='530969002826',Yes,5309690,West Valley School District (Spokane),2826,Spokane Valley High School,Alternative Education School,4,3,Missing,9,12,Spokane County,13,47.67939,-117.2846
725,Renton Academy,4,WA,WASHINGTON,5307230,Renton School District,3073,='530723003073',No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,5,0,2,0,2,0,0,0,14,2,11,2,2,0,36,4,2,0,34,4,Yes,2,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='530723003073',Yes,5307230,Renton School District,3073,Renton Academy,Alternative Education School,4,4,Missing,KG,12,King County,13,47.4564,-122.197441
721,Newark Digital Academy,4,OH,OHIO,3900133,Newark Digital Academy,4183,='390013304183',No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,2,0,0,2,2,0,0,0,2,8,164,164,8,8,178,182,0,0,49,25,Yes,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='390013304183',Yes,3900133,Newark Digital Academy,4183,Newark Digital Academy,Regular School,1,4,Yes,2,12,Licking County,23,40.06405,-82.416321
736,CHESTERFIELD JUVENILE DETENTION HOME,2,VA,VIRGINIA,5100042,DOE SOP EDUC PROGRAMS,2380,='510004202380',Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,2,0,0,0,0,0,0,0,11,2,8,2,0,0,21,4,0,0,7,0,Yes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='510004202380',No,5100042,DOE SOP EDUC PROGRAMS,2380,CHESTERFIELD JUVENILE DETENTION HOME,Alternative Education School,4,N,No,N,N,Chesterfield County,21,37.381566,-77.500047
723,Excel Academy - Englewood HS,4,IL,ILLINOIS,1709930,City of Chicago SD 299,6249,='170993006249',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,5,0,0,0,0,0,0,0,140,134,0,0,2,0,147,134,0,0,37,22,Yes,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='170993006249',Yes,1709930,City of Chicago SD 299,6249,Excel Academy - Englewood HS,Regular School,1,3,No,9,12,Cook County,11,41.764293,-87.649189
744,LANGSTON HIGH  CONTINUATION PRGM.,2,VA,VIRGINIA,5100270,ARLINGTON CO PBLC SCHS,2944,='510027002944',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,14,14,0,0,5,0,0,0,8,8,8,5,2,2,37,29,5,2,10,7,Yes,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='510027002944',No,5100270,ARLINGTON CO PBLC SCHS,2944,LANGSTON HIGH  CONTINUATION PRGM.,Alternative Education School,4,N,No,N,N,Arlington County,12,38.89577,-77.126561
752,NORTHERN NECK REGIONAL ALTERNATIVE ED,2,VA,VIRGINIA,5100097,NORTHERN NECK REGIONAL ALTERNATIVE ED,2367,='510009702367',No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,-9,No,No,No,No,0,0,0,0,0,0,0,0,17,2,8,5,2,2,27,9,0,0,4,0,Yes,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='510009702367',No,5100097,NORTHERN NECK REGIONAL ALTERNATIVE ED,2367,NORTHERN NECK REGIONAL ALTERNATIVE ED,Alternative Education School,4,N,No,N,N,Richmond County,42,37.944636,-76.747937
7,Central California Connections Academy,4,CA,CALIFORNIA,698994,California Connections Academy @Central,99999,='069899499999',No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,83,77,2,2,2,8,0,0,8,11,86,107,11,8,192,213,8,8,16,7,Yes,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,Yes,0,5,0,0,0,0,0,0,0,0,0,8,2,0,2,13,0,0,0,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,4,Yes,KG,12,Tulare County,12,36.29389,-119.331121
738,MOUNTVIEW YOUTH SERVICE CENTER,2,CO,COLORADO,804800,Jefferson County School District No. R-1,6347,='080480006347',Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,8,5,0,0,0,0,0,0,0,0,8,2,0,0,16,7,2,0,0,0,Yes,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='080480006347',No,804800,Jefferson County School District No. R-1,6347,MOUNTVIEW YOUTH SERVICE CENTER,Alternative Education School,4,4,No,5,12,Jefferson County,12,39.648573,-105.0879
