,SCH_NAME,de_total_enrollment,LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,COMBOKEY,JJ,SCH_GRADE_PS,SCH_GRADE_KG,SCH_GRADE_G01,SCH_GRADE_G02,SCH_GRADE_G03,SCH_GRADE_G04,SCH_GRADE_G05,SCH_GRADE_G06,SCH_GRADE_G07,SCH_GRADE_G08,SCH_GRADE_G09,SCH_GRADE_G10,SCH_GRADE_G11,SCH_GRADE_G12,SCH_GRADE_UG,SCH_UGDETAIL_HS,SCH_STATUS_SPED,SCH_STATUS_MAGNET,SCH_STATUS_CHARTER,SCH_STATUS_ALT,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_LEP_M,SCH_ENR_LEP_F,SCH_ENR_IDEA_M,SCH_ENR_IDEA_F,SCH_DUAL_IND,SCH_DUALENR_HI_M,SCH_DUALENR_HI_F,SCH_DUALENR_AM_M,SCH_DUALENR_AM_F,SCH_DUALENR_AS_M,SCH_DUALENR_AS_F,SCH_DUALENR_HP_M,SCH_DUALENR_HP_F,SCH_DUALENR_BL_M,SCH_DUALENR_BL_F,SCH_DUALENR_WH_M,SCH_DUALENR_WH_F,SCH_DUALENR_TR_M,SCH_DUALENR_TR_F,TOT_DUALENR_M,TOT_DUALENR_F,SCH_DUALENR_LEP_M,SCH_DUALENR_LEP_F,SCH_DUALENR_IDEA_M,SCH_DUALENR_IDEA_F,SCH_APENR_IND,SCH_APENR_HI_M,SCH_APENR_HI_F,SCH_APENR_AM_M,SCH_APENR_AM_F,SCH_APENR_AS_M,SCH_APENR_AS_F,SCH_APENR_HP_M,SCH_APENR_HP_F,SCH_APENR_BL_M,SCH_APENR_BL_F,SCH_APENR_WH_M,SCH_APENR_WH_F,SCH_APENR_TR_M,SCH_APENR_TR_F,TOT_APENR_M,TOT_APENR_F,SCH_APENR_LEP_M,SCH_APENR_LEP_F,SCH_APENR_IDEA_M,SCH_APENR_IDEA_F,SCH_IBENR_IND,SCH_IBENR_HI_M,SCH_IBENR_HI_F,SCH_IBENR_AM_M,SCH_IBENR_AM_F,SCH_IBENR_AS_M,SCH_IBENR_AS_F,SCH_IBENR_HP_M,SCH_IBENR_HP_F,SCH_IBENR_BL_M,SCH_IBENR_BL_F,SCH_IBENR_WH_M,SCH_IBENR_WH_F,SCH_IBENR_TR_M,SCH_IBENR_TR_F,TOT_IBENR_M,TOT_IBENR_F,SCH_IBENR_LEP_M,SCH_IBENR_LEP_F,SCH_IBENR_IDEA_M,SCH_IBENR_IDEA_F,combokey,TITLEI,LEAID_nces,LEA_NAME_nces,SCHID_nces,SCH_NAME_nces,SCH_TYPE_TEXT,SCH_TYPE,LEVEL,VIRTUAL,GSLO,GSHI,NMCNTY15,LOCALE15,LAT1516,LON1516,Students_in_11_12
512,RIO RANCHO CYBER ACADEMY,8,NM,NEW MEXICO,3500010,RIO RANCHO PUBLIC SCHOOLS,954,='350001000954',No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,23,32,2,2,2,0,0,0,2,0,47,47,5,2,81,83,0,0,13,4,Yes,2,0,0,0,2,0,0,0,0,0,2,2,0,0,6,2,0,0,0,0,Yes,5,5,0,2,2,0,0,0,0,0,8,8,0,0,15,15,0,0,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='350001000954',Yes,3500010.0,RIO RANCHO PUBLIC SCHOOLS,954.0,RIO RANCHO CYBER ACADEMY,Alternative Education School,4.0,4,No,6,12,Sandoval County,21,35.240266,-106.653633,Yes
513,MONTE DEL SOL CHARTER,8,NM,NEW MEXICO,3500170,MONTE DEL SOL CHARTER,816,='350017000816',No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,122,122,2,2,5,8,0,0,5,2,38,26,14,14,186,174,32,23,40,16,Yes,2,2,0,0,0,0,0,0,0,0,2,2,0,0,4,4,2,2,0,0,Yes,11,17,0,0,0,2,0,0,0,0,5,11,0,0,16,30,0,2,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='350017000816',Missing,3500170.0,MONTE DEL SOL CHARTER,816.0,MONTE DEL SOL CHARTER,Regular School,1.0,N,No,N,N,Santa Fe County,13,35.62475,-106.010151,Yes
514,Henderson Bay Alt High School,8,WA,WASHINGTON,5306690,Peninsula School District,2463,='530669002463',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,5,8,0,2,0,2,0,0,0,2,65,50,8,8,78,72,0,2,31,16,Yes,2,0,0,0,0,0,0,0,0,0,2,2,2,0,6,2,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='530669002463',Yes,5306690.0,Peninsula School District,2463.0,Henderson Bay Alt High School,Alternative Education School,4.0,3,Missing,9,12,Pierce County,21,47.333155,-122.60336399999998,Yes
517,Northern AZ Academy for Career Dev. - Winslow,8,AZ,ARIZONA,400077,Career Development  Inc.,918,='040007700918',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,Yes,8,8,20,17,0,0,0,0,2,2,2,2,0,0,32,29,0,0,0,4,Yes,2,0,2,2,0,0,0,0,0,0,2,0,0,0,6,2,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='040007700918',Yes,400077.0,Career Development  Inc.,918.0,Northern AZ Academy for Career Dev. - Winslow,Regular School,1.0,3,No,9,12,Navajo County,33,35.018107,-110.716197,Yes
520,HALL CENTER FOR EDUCATION,8,TX,TEXAS,4807710,ALDINE ISD,12521,='480771012521',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,65,62,0,0,0,0,0,0,53,50,5,2,2,2,125,116,20,8,4,0,Yes,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='480771012521',Yes,4807710.0,ALDINE ISD,12521.0,HALL CENTER FOR EDUCATION,Alternative Education School,4.0,3,Missing,9,12,Harris County,11,29.93614,-95.356163,Yes
522,SouthEast Michigan Cyber Academy,8,MI,MICHIGAN,2629460,Redford Union Schools District No. 1,8380,='262946008380',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,2,2,2,0,2,0,0,0,122,152,26,35,2,0,156,189,0,0,0,0,Yes,0,0,0,0,0,0,0,0,2,2,2,2,0,0,4,4,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='262946008380',No,2629460.0,Redford Union Schools District No. 1,8380.0,SouthEast Michigan Cyber Academy,Regular School,1.0,3,No,7,12,Wayne County,21,42.4202,-83.28908100000002,Yes
523,Learning Alt Branch Harrisburg,8,IL,ILLINOIS,1700180,Edw/Glt/Hlt/Hdn/Pop/Sln/Wbh/Wn/Wh,6125,='170018006125',No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,0,0,0,0,0,0,0,0,2,0,2,2,2,2,6,4,0,0,0,0,Yes,0,0,0,0,0,0,0,0,2,0,2,2,2,0,6,2,0,0,0,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='170018006125',No,1700180.0,Edw/Glt/Hlt/Hdn/Pop/Sln/Wbh/Wn/Wh,6125.0,Learning Alt Branch Harrisburg,Alternative Education School,4.0,4,No,6,12,Saline County,32,37.738006,-88.539374,Yes
524,ALP @ CAPITOL VIEW CENTER,8,MN,MINNESOTA,2702264,NORTHEAST METRO 916,2093,='270226402093',No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,2,2,2,0,2,0,0,0,14,5,14,2,5,2,39,11,0,0,37,10,Yes,0,0,0,0,2,0,0,0,2,2,2,0,0,0,6,2,0,0,2,2,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='270226402093',No,2702264.0,NORTHEAST METRO 916,2093.0,ALP @ CAPITOL VIEW CENTER,Special Education School,2.0,4,No,5,12,Ramsey County,21,45.012931,-93.10396,Yes
525,PARNASSUS PREP SCHOOL-RHETORIC,8,MN,MINNESOTA,2700333,PARNASSUS PREPARATORY CHARTER SCH,4817,='270033304817',No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,-9,No,No,Yes,No,0,0,0,0,0,2,0,0,5,8,8,14,0,0,13,24,0,2,0,0,Yes,0,0,0,0,0,0,0,0,2,2,2,2,0,0,4,4,0,0,2,0,Yes,0,0,0,0,0,2,0,0,2,2,5,5,0,0,7,9,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='270033304817',Yes,2700333.0,PARNASSUS PREPARATORY CHARTER SCH,4817.0,PARNASSUS PREP SCHOOL-RHETORIC,Regular School,1.0,4,No,9,10,Hennepin County,21,45.12819,-93.424661,No
526,WHIDDON RODGERS EDUCATION CENTER,8,FL,FLORIDA,1200180,BROWARD,3027,='120018003027',No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,Yes,74,35,2,0,5,0,2,2,584,254,35,20,11,5,713,316,71,56,136,37,Yes,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,2,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,='120018003027',No,1200180.0,BROWARD,3027.0,WHIDDON RODGERS EDUCATION CENTER,Alternative Education School,4.0,4,No,6,12,Broward County,12,26.090071,-80.14985300000002,Yes
