SCH_NAME_ST_NUM,COMBOKEY,LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,JJ,SCH_GRADE_PS,SCH_GRADE_KG,SCH_GRADE_G01,SCH_GRADE_G02,SCH_GRADE_G03,SCH_GRADE_G04,SCH_GRADE_G05,SCH_GRADE_G06,SCH_GRADE_G07,SCH_GRADE_G08,SCH_GRADE_G09,SCH_GRADE_G10,SCH_GRADE_G11,SCH_GRADE_G12,SCH_GRADE_UG,SCH_UGDETAIL_HS,SCH_STATUS_SPED,SCH_STATUS_MAGNET,SCH_STATUS_CHARTER,SCH_STATUS_ALT,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_LEP_M,SCH_ENR_LEP_F,SCH_ENR_IDEA_M,SCH_ENR_IDEA_F,SCH_DUAL_IND,SCH_DUALENR_HI_M,SCH_DUALENR_HI_F,SCH_DUALENR_AM_M,SCH_DUALENR_AM_F,SCH_DUALENR_AS_M,SCH_DUALENR_AS_F,SCH_DUALENR_HP_M,SCH_DUALENR_HP_F,SCH_DUALENR_BL_M,SCH_DUALENR_BL_F,SCH_DUALENR_WH_M,SCH_DUALENR_WH_F,SCH_DUALENR_TR_M,SCH_DUALENR_TR_F,TOT_DUALENR_M,TOT_DUALENR_F,SCH_DUALENR_LEP_M,SCH_DUALENR_LEP_F,SCH_DUALENR_IDEA_M,SCH_DUALENR_IDEA_F,SCH_APENR_IND,SCH_APENR_HI_M,SCH_APENR_HI_F,SCH_APENR_AM_M,SCH_APENR_AM_F,SCH_APENR_AS_M,SCH_APENR_AS_F,SCH_APENR_HP_M,SCH_APENR_HP_F,SCH_APENR_BL_M,SCH_APENR_BL_F,SCH_APENR_WH_M,SCH_APENR_WH_F,SCH_APENR_TR_M,SCH_APENR_TR_F,TOT_APENR_M,TOT_APENR_F,SCH_APENR_LEP_M,SCH_APENR_LEP_F,SCH_APENR_IDEA_M,SCH_APENR_IDEA_F,SCH_IBENR_IND,SCH_IBENR_HI_M,SCH_IBENR_HI_F,SCH_IBENR_AM_M,SCH_IBENR_AM_F,SCH_IBENR_AS_M,SCH_IBENR_AS_F,SCH_IBENR_HP_M,SCH_IBENR_HP_F,SCH_IBENR_BL_M,SCH_IBENR_BL_F,SCH_IBENR_WH_M,SCH_IBENR_WH_F,SCH_IBENR_TR_M,SCH_IBENR_TR_F,TOT_IBENR_M,TOT_IBENR_F,SCH_IBENR_LEP_M,SCH_IBENR_LEP_F,SCH_IBENR_IDEA_M,SCH_IBENR_IDEA_F,TITLEI,STABR,SCH_TYPE_TEXT,SCH_TYPE,LEVEL,VIRTUAL,GSLO,GSHI,NMCNTY15,LOCALE15,LAT1516,LON1516,Low_Grade_Above9,High_Grade_12,combokey,TITLEI_,LEAID_,LEA_NAME_,STABR_,SCHID_,SCH_NAME_,SCH_TYPE_TEXT_,SCH_TYPE_,LEVEL_,VIRTUAL_,GSLO_,GSHI_,NMCNTY15_,LOCALE15_,LAT1516_,LON1516_
"""""kenneth """"honey"""" rubenstein center""""WV",='540051199999',WV,WEST VIRGINIA,5400511,INSTITUTIONAL EDUCATIONAL PROGRAMS,99999,"""""kenneth """"honey"""" rubenstein center""""",No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,2,0,0,0,0,0,0,0,5,0,26,0,5,0,38,0,0,0,19,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
academic enrichment centerOH,='390450499999',OH,OHIO,3904504,Westerville City,99999,academic enrichment center,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,11,2,2,0,0,0,0,0,17,11,23,14,2,2,55,29,5,0,4,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
academy of arts and  sciences del mar middle & high 6-12CA,='06CC10700001',CA,CALIFORNIA,06CC107,Academy of Arts and  Sciences Del Mar Middle & High 6-12,1,academy of arts and  sciences del mar middle & high 6-12,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,23,32,2,0,0,5,23,20,38,59,38,59,8,8,132,183,5,5,4,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,2,2,0,0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,0,0,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
academy of arts and  sciences el cajon middle and high 6-12CA,='06CC11900001',CA,CALIFORNIA,06CC119,Academy of Arts and  Sciences El Cajon Middle and High 6-12,1,academy of arts and  sciences el cajon middle and high 6-12,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,5,5,0,0,0,0,0,0,2,5,14,8,2,0,23,18,0,2,-2,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
academy of arts and  sciences oxnard & venturaCA,='06CC12500001',CA,CALIFORNIA,06CC125,Academy of Arts and  Sciences Oxnard & Ventura,1,academy of arts and  sciences oxnard & ventura,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,14,8,0,0,0,0,0,0,8,5,11,26,2,2,35,41,2,0,-2,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,5,2,0,0,0,0,0,0,2,0,0,2,2,0,9,4,0,0,0,0,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
academy of arts and  sciences thousand oaks and simiCA,='06CC13500001',CA,CALIFORNIA,06CC135,Academy of Arts and  Sciences Thousand Oaks and Simi,1,academy of arts and  sciences thousand oaks and simi,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,53,77,2,5,5,11,2,2,23,26,53,80,14,17,152,218,2,2,13,4,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,0,2,0,0,0,0,0,0,0,2,2,2,2,2,4,8,0,0,0,0,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
academy of earth and space science (panther)NJ,='341269099999',NJ,NEW JERSEY,3412690,Paterson Public School District,99999,academy of earth and space science (panther),No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,53,32,0,0,8,2,0,0,56,29,8,5,0,0,125,68,5,2,31,10,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
ace academyGA,='130111002690',GA,GEORGIA,1301110,Cherokee County,2690,ace academy,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,35,23,0,0,0,0,0,0,26,14,89,59,5,2,155,98,8,5,22,4,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
acld tillotson schoolPA,='420077999999',PA,PENNSYLVANIA,4200779,ACLD TILLOTSON SCHOOL,99999,acld tillotson school,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,0,0,0,0,2,0,0,5,0,35,23,2,0,42,25,0,0,43,25,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,UG-Yes,Yes,,,,,,,,,,,,,,,,,
administrative officesKS,='201299099998',KS,KANSAS,2012990,Wichita,99998,administrative offices,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,14,11,2,2,2,0,0,0,32,8,23,14,2,2,75,37,0,2,22,7,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
administrative services -- special educationLA,='220003902160',LA,LOUISIANA,2200039,Zachary Community School District,2160,administrative services -- special education,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,2,2,0,0,0,2,0,0,2,2,2,0,0,2,6,8,0,0,4,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
adult and career educationCA,='063132013326',CA,CALIFORNIA,631320,Pomona Unified,13326,adult and career education,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,-9,No,No,No,No,128,185,2,2,26,32,0,0,14,8,5,23,2,5,177,255,41,92,-2,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
adult and community ed. buildingMI,='263495002050',MI,MICHIGAN,2634950,Vicksburg Community Schools,2050,adult and community ed. building,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,0,2,0,0,0,0,0,0,0,0,2,2,0,0,2,4,0,0,-2,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,UG-Yes,Yes,,,,,,,,,,,,,,,,,
adult educationMI,='261839008060',MI,MICHIGAN,2618390,Hillsdale Community Schools,8060,adult education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,2,2,0,0,0,0,0,0,2,5,11,17,2,0,17,24,0,0,-2,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,UG-No,Yes,,,,,,,,,,,,,,,,,
alc caresNJ,='341122099996',NJ,NEW JERSEY,3411220,New Brunswick School District,99996,alc cares,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,50,23,0,0,0,0,0,0,5,2,0,0,0,0,55,25,11,2,4,4,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
alcd tillotson schoolPA,='421896099996',PA,PENNSYLVANIA,4218960,Peters Township SD,99996,alcd tillotson school,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,-9,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,-2,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,No,,,,,,,,,,,,,,,,,
allan cottAL,='010003399998',AL,ALABAMA,100033,Glenwood Mental Health Services,99998,allan cott,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,0,0,0,0,0,0,0,0,11,2,17,5,0,0,28,7,0,0,28,7,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,UG-Yes,Yes,,,,,,,,,,,,,,,,,
alliance collins family college-ready high schoolCA,='06CC11099999',CA,CALIFORNIA,06CC110,Collins Family College-Ready High School,99999,alliance collins family college-ready high school,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,281,317,0,0,0,2,0,0,2,0,0,0,0,0,283,319,23,29,34,22,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,122,155,0,0,0,0,0,0,0,0,0,0,0,0,122,155,0,2,8,5,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
alliance leichtman-levine family foundation environmental science highCA,='06CC18200001',CA,CALIFORNIA,06CC182,ENVIRONMENTAL SCIENCE AND TECHNOLOGY HIGH SCHOOL,1,alliance leichtman-levine family foundation environmental science high,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,230,233,2,2,32,8,0,0,5,2,5,11,0,0,274,256,23,20,28,22,Yes,29,62,0,0,0,0,0,0,2,0,2,5,0,0,33,67,2,5,2,2,Yes,98,122,0,2,2,2,0,0,2,0,2,8,0,0,104,134,2,5,8,5,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
alliance patti & peter neuwirth leadership academyCA,='06CC13299999',CA,CALIFORNIA,06CC132,Neuwirth Leadership Academy (CRAHS5),99999,alliance patti & peter neuwirth leadership academy,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,293,302,2,2,0,0,0,0,14,20,2,0,0,0,311,324,50,44,34,22,Yes,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,Yes,155,155,2,2,0,0,0,0,8,11,2,0,0,0,167,168,8,8,11,2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
alliance piera barbaglia shaheen health services academyCA,='06CC18600001',CA,CALIFORNIA,06CC186,HEALTH SERVICES ACADEMY HIGH SCHOOL,1,alliance piera barbaglia shaheen health services academy,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,164,209,0,0,2,2,2,2,23,41,8,8,0,0,199,262,53,26,28,19,Yes,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,Yes,32,68,0,0,0,0,0,0,2,11,0,0,0,0,34,79,2,2,2,0,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
alliance renee and meyer luskin high schoolCA,='069898599999',CA,CALIFORNIA,698985,Alliance Renee and Meyer Luskin High School,99999,alliance renee and meyer luskin high school,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,209,230,0,0,2,0,0,0,62,47,0,2,0,0,273,279,50,38,49,19,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Yes,47,80,0,0,0,0,0,0,5,5,0,0,0,0,52,85,2,2,0,0,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
alliance susan and eric smidt technology high schoolCA,='069898499999',CA,CALIFORNIA,698984,Alliance Susan and Eric Smidt Technology High School,99999,alliance susan and eric smidt technology high school,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,257,221,5,5,8,5,0,0,5,5,2,2,0,0,277,238,44,32,49,25,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,110,107,5,5,0,2,0,0,0,0,2,2,0,0,117,116,8,5,17,8,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
alliance ted k. tajima highCA,='06CC21999999',CA,CALIFORNIA,06CC219,COLLEGE-READY ACADEMY HIGH SCHOOL No. 16,99999,alliance ted k. tajima high,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,140,110,0,0,5,2,0,0,2,2,2,0,0,0,149,114,35,23,19,13,Yes,17,29,0,0,0,0,0,0,0,0,0,0,0,0,17,29,2,0,0,0,Yes,44,47,0,0,2,2,0,0,0,2,0,0,0,0,46,51,8,5,2,2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
alternative educationCT,='090324001854',CT,CONNECTICUT,903240,OXFORD SCHOOL DISTRICT,1854,alternative education,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,2,0,0,0,0,0,0,0,2,0,8,2,0,0,12,2,0,0,7,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
alternative home placementAZ,='040593099996',AZ,ARIZONA,405930,Paradise Valley Unified District,99996,alternative home placement,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,2,2,0,0,0,0,0,0,0,0,2,2,0,0,4,4,0,0,-2,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
alternative learning program at harris academy (alpha)IN,='180102099998',IN,INDIANA,1801020,Brownsburg Community Sch Corp,99998,alternative learning program at harris academy (alpha),No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,2,0,0,0,0,0,0,0,2,2,14,2,2,0,20,4,2,0,19,4,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
alternative program at edmonsonNJ,='340423099999',NJ,NEW JERSEY,3404230,East Orange School District,99999,alternative program at edmonson,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,No,No,0,0,0,0,0,0,0,0,17,20,0,0,0,0,17,20,0,0,-2,-2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
alternatives in action high schoolCA,='06CC01699999',CA,CALIFORNIA,06CC016,Alternatives in Action,99999,alternatives in action high school,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,80,74,0,0,2,0,0,0,2,5,2,0,0,0,86,79,44,26,10,4,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes,,,,,,,,,,,,,,,,,
