COMBOKEY,LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,JJ,SCH_GRADE_PS,SCH_GRADE_KG,SCH_GRADE_G01,SCH_GRADE_G02,SCH_GRADE_G03,SCH_GRADE_G04,SCH_GRADE_G05,SCH_GRADE_G06,SCH_GRADE_G07,SCH_GRADE_G08,SCH_GRADE_G09,SCH_GRADE_G10,SCH_GRADE_G11,SCH_GRADE_G12,SCH_GRADE_UG,SCH_UGDETAIL_HS,SCH_STATUS_SPED,SCH_STATUS_MAGNET,SCH_STATUS_CHARTER,SCH_STATUS_ALT,SCH_ENR_HI_M,SCH_ENR_HI_F,SCH_ENR_AM_M,SCH_ENR_AM_F,SCH_ENR_AS_M,SCH_ENR_AS_F,SCH_ENR_HP_M,SCH_ENR_HP_F,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_ENR_TR_M,SCH_ENR_TR_F,TOT_ENR_M,TOT_ENR_F,SCH_ENR_LEP_M,SCH_ENR_LEP_F,SCH_ENR_IDEA_M,SCH_ENR_IDEA_F,SCH_DUAL_IND,SCH_DUALENR_HI_M,SCH_DUALENR_HI_F,SCH_DUALENR_AM_M,SCH_DUALENR_AM_F,SCH_DUALENR_AS_M,SCH_DUALENR_AS_F,SCH_DUALENR_HP_M,SCH_DUALENR_HP_F,SCH_DUALENR_BL_M,SCH_DUALENR_BL_F,SCH_DUALENR_WH_M,SCH_DUALENR_WH_F,SCH_DUALENR_TR_M,SCH_DUALENR_TR_F,TOT_DUALENR_M,TOT_DUALENR_F,SCH_DUALENR_LEP_M,SCH_DUALENR_LEP_F,SCH_DUALENR_IDEA_M,SCH_DUALENR_IDEA_F,SCH_APENR_IND,SCH_APENR_HI_M,SCH_APENR_HI_F,SCH_APENR_AM_M,SCH_APENR_AM_F,SCH_APENR_AS_M,SCH_APENR_AS_F,SCH_APENR_HP_M,SCH_APENR_HP_F,SCH_APENR_BL_M,SCH_APENR_BL_F,SCH_APENR_WH_M,SCH_APENR_WH_F,SCH_APENR_TR_M,SCH_APENR_TR_F,TOT_APENR_M,TOT_APENR_F,SCH_APENR_LEP_M,SCH_APENR_LEP_F,SCH_APENR_IDEA_M,SCH_APENR_IDEA_F,SCH_IBENR_IND,SCH_IBENR_HI_M,SCH_IBENR_HI_F,SCH_IBENR_AM_M,SCH_IBENR_AM_F,SCH_IBENR_AS_M,SCH_IBENR_AS_F,SCH_IBENR_HP_M,SCH_IBENR_HP_F,SCH_IBENR_BL_M,SCH_IBENR_BL_F,SCH_IBENR_WH_M,SCH_IBENR_WH_F,SCH_IBENR_TR_M,SCH_IBENR_TR_F,TOT_IBENR_M,TOT_IBENR_F,SCH_IBENR_LEP_M,SCH_IBENR_LEP_F,SCH_IBENR_IDEA_M,SCH_IBENR_IDEA_F,TITLEI,SCH_TYPE_TEXT,SCH_TYPE,LEVEL,VIRTUAL,GSLO,GSHI,NMCNTY15,LOCALE15,LAT1516,LON1516,Low_Grade_Above9,High_Grade_12
='06CC13800001',CA,CALIFORNIA,06CC138,Inspire Charter School,1,Inspire Charter School,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,113,116,2,2,5,11,0,2,17,26,104,95,20,17,261,269,20,20,34,28,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC13900001',CA,CALIFORNIA,06CC139,OUCHI HIGH SCHOOL,1,Alliance Ouchi-O'Donovan 6-12 Complex,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,467,467,2,2,2,2,0,0,23,41,2,0,0,0,496,512,107,74,46,40,Yes,44,71,2,0,0,0,0,0,8,5,0,0,0,0,54,76,5,8,5,2,Yes,140,146,0,0,2,0,0,0,5,17,2,0,0,0,149,163,14,14,11,11,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC14000001',CA,CALIFORNIA,06CC140,MARC & EVA STERN MATH AND SCIENCE,1,Alliance Marc & Eva Stern Math and Science,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,284,299,2,2,2,5,0,0,5,2,0,2,0,0,293,310,20,23,25,22,Yes,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,2,Yes,119,152,2,2,2,2,0,0,2,2,0,2,0,0,125,160,2,5,2,5,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC14200001',CA,CALIFORNIA,06CC142,PUC Triumph Charter Academy and PUC Triumph Charter High School,1,PUC Triumph Charter Academy and PUC Triumph Charter High School,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,377,326,2,2,2,2,0,0,5,2,8,0,0,0,394,332,59,20,91,37,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,Yes,29,56,0,0,0,0,0,0,0,2,0,0,0,0,29,58,0,0,2,2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC14800001',CA,CALIFORNIA,06CC148,BRIGHT STAR SECONDARY CHARTER ACADEMY,1,Bright Star Secondary Charter Academy,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,260,224,0,0,8,8,0,0,29,32,2,2,0,0,299,266,32,17,46,19,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,50,86,0,0,2,5,0,0,5,5,2,2,0,0,59,98,0,2,2,5,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC15100001',CA,CALIFORNIA,06CC151,MAGNOLIA SCIENCE ACADEMY 2,1,Magnolia Science Academy 2,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,218,185,0,0,8,8,2,0,8,8,26,20,8,0,270,221,44,20,67,25,Yes,2,0,0,0,0,2,0,0,0,2,2,0,0,0,4,4,0,0,0,0,Yes,8,8,0,0,2,8,0,0,2,2,11,2,2,0,25,20,0,0,2,0,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC15400001',CA,CALIFORNIA,06CC154,The City,1,City High,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,-9,No,No,Yes,No,11,5,0,0,2,2,0,2,14,11,8,8,0,0,35,28,0,0,7,4,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,No
='06CC15500001',CA,CALIFORNIA,06CC155,DISCOVERY CHARTER PREPARATORY #2,1,Discovery Charter Preparatory No. 2,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,125,134,0,0,0,0,0,0,0,0,0,0,0,0,125,134,35,23,25,10,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,11,41,0,0,0,0,0,0,0,0,0,0,0,0,11,41,0,2,2,0,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC16000001',CA,CALIFORNIA,06CC160,MAGNOLIA SCIENCE ACADEMY 3,1,Magnolia Science Academy 3,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,119,113,5,5,5,5,2,5,104,101,2,5,8,5,245,239,5,8,37,16,Yes,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,Yes,35,44,0,0,2,0,0,0,14,17,2,0,0,0,53,61,2,5,8,2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC17200001',CA,CALIFORNIA,06CC172,NEW MILLENNIUM SECONDARY,1,New Millennium Secondary,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,26,26,0,0,2,2,2,2,47,74,2,2,2,2,81,108,0,2,10,4,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC17300001',CA,CALIFORNIA,06CC173,MEDIA ARTS AND ENTERTAINMENT DESIGN HIGH SCHOOL,1,Alliance Morgan McKinzie High,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,140,161,2,2,0,0,0,0,2,0,2,5,0,0,146,168,23,26,22,7,Yes,44,59,0,2,0,0,0,0,0,0,0,0,0,0,44,61,5,2,0,0,Yes,59,68,2,2,0,0,0,0,0,0,0,2,0,0,61,72,8,8,8,2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC18200001',CA,CALIFORNIA,06CC182,ENVIRONMENTAL SCIENCE AND TECHNOLOGY HIGH SCHOOL,1,Alliance Leichtman-Levine Family Foundation Environmental Science High,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,230,233,2,2,32,8,0,0,5,2,5,11,0,0,274,256,23,20,28,22,Yes,29,62,0,0,0,0,0,0,2,0,2,5,0,0,33,67,2,5,2,2,Yes,98,122,0,2,2,2,0,0,2,0,2,8,0,0,104,134,2,5,8,5,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC18400001',CA,CALIFORNIA,06CC184,MAGNOLIA SCIENCE ACADEMY 4,1,Magnolia Science Academy 4,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,98,56,0,0,2,2,0,2,5,11,11,2,2,0,118,73,11,8,13,13,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Yes,17,14,0,0,0,0,0,0,2,2,2,0,0,0,21,16,0,0,2,2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC18600001',CA,CALIFORNIA,06CC186,HEALTH SERVICES ACADEMY HIGH SCHOOL,1,Alliance Piera Barbaglia Shaheen Health Services Academy,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,164,209,0,0,2,2,2,2,23,41,8,8,0,0,199,262,53,26,28,19,Yes,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,Yes,32,68,0,0,0,0,0,0,2,11,0,0,0,0,34,79,2,2,2,0,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC18900001',CA,CALIFORNIA,06CC189,NEW DESIGNS CHARTER SCH-WATTS,1,New Designs Charter School-Watts,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,125,107,0,0,0,0,0,0,98,107,2,0,0,0,225,214,68,59,28,16,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,14,17,0,0,0,0,0,0,8,5,0,0,0,0,22,22,8,11,2,2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC19100001',CA,CALIFORNIA,06CC191,PUC NUEVA ESPERANZA CHARTER ACADEMY,1,PUC Nueva Esperanza Charter Academy k-12,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-9,No,No,Yes,No,194,227,0,2,0,0,0,0,0,0,0,0,0,0,194,229,41,38,31,19,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,No
='06CC20000001',CA,CALIFORNIA,06CC200,Simon Technology Academy High School,1,Alliance Cindy and Bill Simon Technology Academy High,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,227,242,0,2,2,0,0,0,23,20,0,0,0,0,252,264,53,41,28,13,Yes,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Yes,47,83,0,0,0,0,0,0,5,8,0,0,0,0,52,91,0,2,2,0,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC20100001',CA,CALIFORNIA,06CC201,Tennenbaum Family Technology High School,1,Alliance Tennenbaum Family Technology High,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,209,164,2,0,14,11,0,0,2,0,2,5,0,0,229,180,29,20,31,19,Yes,5,14,0,0,0,0,0,0,0,0,2,0,0,0,7,14,2,2,0,2,Yes,74,68,2,0,5,2,0,0,0,0,0,2,0,0,81,72,8,2,0,2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC20600001',CA,CALIFORNIA,06CC206,TEACH Tech Charter High,1,TEACH Tech Charter High,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,-9,No,No,Yes,No,44,44,2,0,0,0,0,0,26,44,0,0,0,0,72,88,11,17,7,4,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,No
='06CC20700001',CA,CALIFORNIA,06CC207,ASPIRE PACIFIC ACADEMY,1,Aspire Pacific Academy,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-9,No,No,Yes,No,254,233,0,0,0,0,0,0,2,0,0,2,0,0,256,235,47,23,40,16,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,83,89,0,0,0,0,0,0,2,0,0,0,0,0,85,89,0,2,0,2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,No
='06CC21200001',CA,CALIFORNIA,06CC212,Ednovate - USC East College Prep,1,USC East College Prep,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,-9,No,No,Yes,No,38,53,0,0,2,2,0,0,2,2,0,0,2,0,44,57,5,8,10,7,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,No
='06CC21999999',CA,CALIFORNIA,06CC219,COLLEGE-READY ACADEMY HIGH SCHOOL No. 16,99999,Alliance Ted K. Tajima High,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,140,110,0,0,5,2,0,0,2,2,2,0,0,0,149,114,35,23,19,13,Yes,17,29,0,0,0,0,0,0,0,0,0,0,0,0,17,29,2,0,0,0,Yes,44,47,0,0,2,2,0,0,0,2,0,0,0,0,46,51,8,5,2,2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC22200001',CA,CALIFORNIA,06CC222,Executive Preparatory Academy of Finance,1,Executive Preparatory Academy of Finance,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,-9,No,No,Yes,No,14,20,0,2,0,0,0,0,95,74,0,0,0,2,109,98,5,2,13,13,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,5,8,0,0,0,0,0,0,11,11,0,0,0,0,16,19,0,0,0,2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,No
='06CC22600001',CA,CALIFORNIA,06CC226,PUC LAKEVIEW CHARTER HIGH SCHOOL,1,PUC Lakeview Charter High,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,191,200,0,2,5,8,0,0,2,5,5,2,0,0,203,217,23,5,22,13,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,50,74,0,2,0,2,0,0,2,2,2,0,0,0,54,80,2,0,2,2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC22999999',CA,CALIFORNIA,06CC229,SYNERGY QUANTUM ACADEMY,99999,SYNERGY QUANTUM ACADEMY,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,287,281,0,0,0,0,0,0,8,5,0,0,0,2,295,288,53,41,37,16,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,41,71,0,0,0,0,0,0,0,0,0,0,0,0,41,71,0,0,0,0,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC23300001',CA,CALIFORNIA,06CC233,PUC EARLY COLLEGE ACADEMY FOR LEADERS AND SCHOLARS,1,PUC EARLY COLLEGE ACADEMY FOR LEADERS AND SCHOLARS,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,209,221,2,2,8,5,0,0,2,2,2,2,0,0,223,232,23,14,37,22,Yes,23,26,0,0,2,2,0,0,0,0,0,2,0,0,25,30,0,2,2,0,Yes,32,65,0,0,5,2,0,0,0,0,0,0,0,0,37,67,2,2,0,0,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC24099999',CA,CALIFORNIA,06CC240,SOUTH SUTTER CHARTER,99999,South Sutter Charter School,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,143,173,11,5,32,23,2,11,26,17,605,650,68,65,887,944,26,26,97,61,Yes,2,0,0,0,0,0,0,0,0,0,2,11,2,0,6,11,0,0,0,0,Yes,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,6,0,0,0,0,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC24899999',CA,CALIFORNIA,06CC248,SACRAMENTO CHARTER HIGH,99999,Sacramento Charter High School,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,122,128,2,5,8,5,2,2,284,299,11,2,38,50,467,491,29,20,67,49,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,2,2,0,2,0,2,0,0,11,17,0,0,2,8,15,31,0,0,0,0,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC25499998',CA,CALIFORNIA,06CC254,DOWNTOWN COLLEGE PREPARATORY,99998,Downtown College Prep High School,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,143,170,2,0,2,2,0,0,2,2,2,2,5,2,156,178,20,26,22,16,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,26,38,0,0,2,2,0,0,2,0,2,2,2,0,34,42,2,0,2,2,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC25599999',CA,CALIFORNIA,06CC255,OPTIONS FOR YOUTH-SAN JUAN,99999,OFY-San Juan,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,113,134,5,5,5,5,5,2,53,56,197,206,59,83,437,491,29,17,64,43,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC25999999',CA,CALIFORNIA,06CC259,KIPP KING COLLEGIATE HIGH,99999,KIPP King Collegiate,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,140,134,0,2,80,62,2,0,47,62,20,14,2,5,291,279,20,11,16,16,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,59,71,0,2,56,50,0,0,11,23,8,5,0,0,134,151,8,5,2,5,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC26099999',CA,CALIFORNIA,06CC260,OCEAN GROVE CHARTER,99999,Ocean Grove Charter School,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,227,206,5,2,71,83,2,2,8,11,479,455,83,86,875,845,26,23,97,52,Yes,11,5,0,0,2,2,0,0,0,2,5,14,2,5,20,28,0,0,2,2,Yes,0,0,0,0,0,2,0,0,0,0,2,2,0,0,2,4,0,0,0,0,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
='06CC26199999',CA,CALIFORNIA,06CC261,Summit Preparatory Charter High School,99999,Summit Preparatory Charter High School,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,-9,No,No,Yes,No,128,110,2,0,11,20,2,2,2,2,53,35,29,20,227,189,26,17,22,19,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Yes,56,53,0,0,5,5,0,2,2,2,29,20,5,5,97,87,11,8,11,8,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Yes,Yes
